"Date","ZCTA5CE10","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2015-04-30,"10025","NY","New York","New York","New York",0,3583,-0.000836586726157278,0.0184764070494599,0.0202164009111617,5880
2015-04-30,"60657","IL","Chicago","Cook","Chicago",1,2033,0.0104373757455268,0.0335536349771225,-0.0428436911487759,18890
2015-04-30,"10023","NY","New York","New York","New York",2,4458,0.00814111261872456,0.0217740087096035,0.0352995819786345,8214
2015-04-30,"60614","IL","Chicago","Cook","Chicago",3,2328,0.014821272885789,0.044414535666218,0.0215006581834138,20776
2015-04-30,"79936","TX","El Paso","El Paso","El Paso",4,1040,0.00192678227360308,0.0186092066601371,0.00483091787439614,28730
2015-04-30,"10002","NY","New York","New York","New York",5,3754,-0.00159574468085106,0.0256830601092896,0.0544943820224719,1470
2015-04-30,"10467","NY","New York","Bronx","New York",6,1804,-0.00221238938053097,0.0361860999425617,0.0841346153846154,883
2015-04-30,"77084","TX","Houston","Harris","Houston",7,1412,0.00355366027007818,0.00785153461812991,0.0513775130305287,24207
2015-04-30,"94109","CA","San Francisco","San Francisco","San Francisco",8,4513,0.00311180262280507,0.0391434492286438,0.141664558563117,5271
2015-04-30,"11226","NY","New York","Kings","New York",9,2164,-0.0087036188731104,-0.0190389845874887,-0.101328903654485,1518
2015-04-30,"60640","IL","Chicago","Cook","Chicago",10,1584,0.00699300699300699,0.0212765957446809,-0.0875576036866359,13346
2015-04-30,"11375","NY","New York","Queens","New York",11,2329,-0.00128644939965695,-0.000429184549356223,0.0500450856627592,5993
2015-04-30,"11235","NY","New York","Kings","New York",12,2178,-0.00819672131147541,-0.00365965233302836,-0.0583657587548638,4717
2015-04-30,"10016","NY","New York","New York","New York",13,3831,0.00709779179810726,0.0295619457135179,0.0478665207877462,7415
2015-04-30,"75070","TX","Dallas-Fort Worth","Collin","McKinney",14,1862,0.00215285252960172,0.00976138828633406,0.0437219730941704,23782
2015-04-30,"90250","CA","Los Angeles","Los Angeles","Hawthorne",15,2424,0.000825763831544178,0.0133779264214047,0.0983235160851835,10322
2015-04-30,"37211","TN","Nashville","Davidson","Nashville",16,1378,-0.00505415162454874,0.025297619047619,0.130434782608696,17550
